,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GLD,GME,GOOGL,HYG,JNJ,JPM,MSFT,NVDA,PG,XOM,GS10,GS2
2008-09-18,4.021501541137695,3.825000047683716,23.07735824584961,85.0,41.71306610107422,,82.80000305175781,6.478829383850098,10.905588150024414,30.20092010498047,42.53093338012695,26.060237884521484,18.321020126342773,0.24960818886756897,42.866859436035156,41.39199447631836,3.69,2.08
2008-09-19,4.226037979125977,4.050000190734863,28.28449821472168,91.9000015258789,44.18928527832031,,85.9800033569336,6.34585428237915,11.15570068359375,30.586172103881836,41.967308044433594,30.42516326904297,18.24849510192871,0.26152700185775757,42.29578399658203,42.38222122192383,3.69,2.08
2008-09-22,3.930327892303467,3.746500015258789,25.771486282348633,87.0999984741211,43.95273208618164,,89.18000030517578,6.106832504272461,10.683541297912598,30.558656692504883,41.01991653442383,26.383569717407227,18.422565460205078,0.2560259997844696,40.901153564453125,41.99360275268555,3.69,2.08
2008-09-23,3.8040647506713867,3.5880000591278076,25.130027770996094,86.0,43.01157760620117,,88.31999969482422,5.8812761306762695,10.661931991577148,30.259389877319336,40.864017486572266,26.228361129760742,18.451574325561523,0.24869132041931152,40.444297790527344,41.36006546020508,3.69,2.08
2008-09-24,3.860146999359131,3.497999906539917,24.956449508666992,89.5,42.89582061767578,,86.70999908447266,5.8240461349487305,10.806984901428223,30.53113555908203,40.88799285888672,26.1895694732666,18.6546573638916,0.2578597962856293,41.32195281982422,41.54106903076172,3.69,2.08
2008-09-25,3.9567177295684814,3.6040000915527344,25.93751335144043,88.80000305175781,44.023197174072266,,86.44999694824219,6.066434860229492,10.918503761291504,29.753746032714844,41.58953094482422,28.103679656982422,19.3001708984375,0.26290225982666016,41.183692932128906,42.946537017822266,3.69,2.08
2008-09-26,3.846050500869751,3.5350000858306885,27.695859909057617,88.5,43.761474609375,,86.63999938964844,6.08663272857666,10.70589542388916,29.650562286376953,41.613548278808594,31.1947021484375,19.873153686523438,0.267944872379303,41.382057189941406,42.935890197753906,3.69,2.08
2008-09-29,3.156857490539551,3.1675000190734863,22.82832908630371,89.16000366210938,39.005332946777344,,89.56999969482422,5.756717681884766,9.463034629821777,27.249616622924805,40.11448669433594,26.512887954711914,18.13969612121582,0.23150071501731873,40.125694274902344,39.427555084228516,3.69,2.08
2008-09-30,3.4087820053100586,3.638000011444092,26.412939071655273,87.9000015258789,41.51173782348633,,85.06999969482422,5.75839900970459,9.947858810424805,28.20586395263672,41.54157638549805,30.198833465576172,19.358196258544922,0.24548231065273285,41.89301300048828,41.344093322753906,3.69,2.08
2008-10-01,3.2726235389709473,3.4790000915527344,28.775009155273438,91.30000305175781,41.370826721191406,,85.97000122070312,6.066434860229492,10.226037979125977,29.43384552001953,40.64815139770508,32.09352111816406,19.205888748168945,0.23860614001750946,42.84282684326172,41.83388137817383,3.81,1.61
