Date,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GLD,GME,GOOGL,HYG,JNJ,JPM,MSFT,NVDA,PG,XOM
2009-05-18,3.7948150634765625,3.797499895095825,9.078598976135254,58.86000061035156,34.15611267089844,,90.36000061035156,4.423582553863525,9.856457710266113,27.9780216217041,34.16895294189453,24.6202392578125,15.145492553710938,0.21247637271881104,32.2726936340332,37.91204071044922
2009-05-19,3.8187859058380127,3.8935000896453857,8.707093238830566,60.0,34.06818771362305,,90.95999908447266,4.346153259277344,9.907127380371094,28.163619995117188,34.071434020996094,23.662132263183594,15.027097702026367,0.2166021317243576,32.53693389892578,37.92279052734375
2009-05-20,3.7714433670043945,3.8984999656677246,8.89284610748291,59.599998474121094,33.731956481933594,,92.25,4.455563068389893,9.864901542663574,28.579374313354492,34.05922317504883,22.82956886291504,15.078896522521973,0.22301995754241943,33.19442367553711,37.43343734741211
2009-05-21,3.720806360244751,3.7980000972747803,8.830924987792969,58.58000183105469,33.34916687011719,,93.8499984741211,3.7671144008636475,9.848014831542969,28.211902618408203,33.81937026977539,23.060829162597656,14.66456127166748,0.22164474427700043,32.57994842529297,36.77737045288086
2009-05-22,3.67046856880188,3.7820000648498535,8.567781448364258,58.15999984741211,33.33366394042969,,94.1500015258789,3.795729875564575,9.773500442504883,28.601661682128906,33.68406677246094,22.737049102783203,14.612770080566406,0.2250828593969345,32.58608627319336,37.01399612426758
2009-05-26,3.918562412261963,3.9195001125335693,8.49811840057373,59.779998779296875,33.964725494384766,,93.76000213623047,3.932072877883911,10.043234825134277,28.52741241455078,33.98542404174805,24.144493103027344,15.049304962158203,0.23723091185092926,33.04695129394531,37.54100036621094
2009-05-27,3.986579656600952,3.8550000190734863,8.44394302368164,58.65999984741211,33.4008903503418,,93.44999694824219,3.704834222793579,10.073039054870605,28.579374313354492,33.3458366394043,22.902254104614258,14.89392375946045,0.2376892864704132,31.81798553466797,36.72898864746094
2009-05-28,4.04710578918457,3.882499933242798,8.745792388916016,58.0,34.04232406616211,,94.23999786376953,3.9606876373291016,10.19325065612793,28.679595947265625,33.53646469116211,24.217187881469727,15.130688667297363,0.2408982664346695,32.31571578979492,37.22909927368164
2009-05-29,4.069275856018066,3.8994998931884766,8.722573280334473,59.439998626708984,34.487178802490234,,96.19999694824219,4.199709415435791,10.362890243530273,28.894908905029297,33.923919677734375,24.382369995117188,15.456243515014648,0.2390645295381546,31.916290283203125,37.29362106323242
2009-06-01,4.175346374511719,4.152500152587891,8.676136016845703,59.689998626708984,35.80107879638672,,95.7300033569336,4.3427863121032715,10.594625473022461,29.578659057617188,34.30522537231445,23.86035919189453,15.833587646484375,0.2507542371749878,32.78886795043945,38.58963394165039
